Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Incline Cable Bicep Curl Video Exercise Guide,Biceps,Strength,Cable,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/two-arm-cable-curl-on-incline-bench.html
Close Grip Standing Barbell Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/close-grip-standing-barbell-curl.html
Barbell Concentration Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/barbell-concentration-curl.html
Alternating Dumbbell Hammer Preacher Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/alternate-dumbbell-hammer-preacher-curl.html
Exercise Ball Preacher Curl Video Exercise Guide,Biceps,Strength,Exercise Ball,Isolation,Pull,Intermediate,None,Biceps,https://www.muscleandstrength.com/exercises/swiss-ball-preacher-curl.html
Lying Incline Bench Barbell Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Intermediate,None,Biceps,https://www.muscleandstrength.com/exercises/lying-barbell-curl-on-incline-bench.html
Lying Wide Dumbbell Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Intermediate,None,Biceps,https://www.muscleandstrength.com/exercises/lying-wide-dumbbell-curl.html
Alternating Standing Dumbbell Twisting Curls Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/twisting-standing-dumbbell-curl.html
Wide Grip EZ Bar Curl Video Exercise Guide,Biceps,Strength,EZ Bar,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/wide-grip-ez-bar-curl.html
Cable Concentration Curl Video Exercise Guide,Biceps,Strength,Cable,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/cable-concentration-curl.html
One-Arm Seated Hammer Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/one-arm-seated-hammer-curl.html
Lying High Pulley Cable Curl Video Exercise Guide,Biceps,Strength,Cable,Isolation,Pull,Intermediate,None,Biceps,https://www.muscleandstrength.com/exercises/lying-high-pulley-cable-curl.html
