Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Zerchers Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Bilateral),Advanced,"Abs, Adductors, Biceps, Calves, Forearms, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/zerchers-squat.html
Barbell Quarter Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/1-4-squat.html
Dumbbell Pistol Squat (On Bench) Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bench-one-leg-dumbbell-squat.html
Decline Bench Bodyweight Lunge Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/incline-bench-bodyweight-lunge.html
Barbell Front Box Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Advanced,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/front-squat-to-bench.html
Bodyweight Wall Squat Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Intermediate,"Abs, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-wall-squat.html
Leg Extension (Toes In) Video Exercise Guide,Quads,Strength,Machine,Isolation,Push,Beginner,None,Quads,https://www.muscleandstrength.com/exercises/toes-in-leg-extension.html
Exercise Ball Dumbbell Wall Squat Video Exercise Guide,Quads,Strength,Exercise Ball,Compound,Push,Advanced,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/weighted-swiss-ball-wall-squat.html
Leg Extension (Toes Out) Video Exercise Guide,Quads,Strength,Machine,Isolation,Push,Beginner,None,Quads,https://www.muscleandstrength.com/exercises/toes-out-leg-extension.html
Weighted Sissy Squat Video Exercise Guide,Quads,Strength,Other,Compound,Push,Advanced,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/weighted-sissy-squat.html
Barbell Wide Stance Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,Glutes,Quads,https://www.muscleandstrength.com/exercises/wide-squat.html
Barbell Step Ups Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/barbell-step-ups.html
Narrow Stance Smith Machine Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/narrow-smith-machine-squat.html
Decline Bench Dumbbell Lunge Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/incline-bench-dumbbell-lunge.html
Bodyweight Bulgarian Split Squat Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/one-leg-bodyweight-squat.html
Barbell Bulgarian Split Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Advanced,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/one-leg-barbell-squat.html
Narrow Stance Machine Hack Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Intermediate,"Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/narrow-hack-squat.html
Smith Machine Squat (Feet Forward) Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/feet-forward-smith-machine-squat.html
Single Leg Wall Squat Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Intermediate,"Abs, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/one-leg-bodyweight-wall-squat.html
Bent Over Dumbbell Reverse Fly Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-reverse-fly.html
Standing Dumbbell Shoulder Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push,Beginner,Triceps,Shoulders,https://www.muscleandstrength.com/exercises/standing-dumbbell-press.html
Seated Dumbbell Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/seated-dumbbell-press.html
Smith Machine Shoulder Press Video Exercise Guide,Shoulders,Strength,Machine,Compound,Push,Beginner,Triceps,Shoulders,https://www.muscleandstrength.com/exercises/smith-machine-shoulder-press.html
Seated Bent Over Dumbbell Reverse Fly Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/dumbbell-reverse-fly.html
Standing Dumbbell Front Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/dumbbell-front-raise.html
Seated Barbell Shoulder Press Video Exercise Guide,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/seated-shoulder-press.html
Standing Cable Reverse Fly Video Exercise Guide,Shoulders,Strength,Cable,Isolation,Pull (Bilateral),Beginner,"Traps, Upper Back",Shoulders,https://www.muscleandstrength.com/exercises/standing-cable-flys.html
Seated Dumbbell Lateral Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/seated-dumbbell-lateral-raise.html
Single Arm Cable Lateral Raise (Crossbody) Video Exercise Guide,Shoulders,Strength,Cable,Isolation,Pull (Unilateral),Intermediate,Traps,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-cable-lateral-raise.html
Seated Behind the Neck Shoulder Press Video Exercise Guide,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/seated-barbell-press-behind-neck.html
Cable Lateral Raise Video Exercise Guide,Shoulders,Strength,Cable,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/two-arm-cable-lateral-raise.html
Incline Rear Delt Fly Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/dumbbell-reverse-fly-on-incline-bench.html
Cable Upright Row Video Exercise Guide,Shoulders,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Biceps, Traps, Upper Back",Shoulders,https://www.muscleandstrength.com/exercises/cable-upright-row.html
Barbell Front Raise Video Exercise Guide,Shoulders,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,"Abs, Traps",Shoulders,https://www.muscleandstrength.com/exercises/barbell-front-raise.html
Dumbbell Upright Row Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Biceps, Traps, Upper Back",Shoulders,https://www.muscleandstrength.com/exercises/dumbbell-upright-row.html
One-Arm Dumbbell Lateral Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-lateral-raise.html
Lateral Raise Machine Video Exercise Guide,Shoulders,Strength,Machine,Isolation,Push,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/machine-lateral-raise.html
Seated Neutral Grip Dumbbell Shoulder Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/seated-palms-in-dumbbell-press.html
Standing Arnold Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push,Intermediate,None,Shoulders,https://www.muscleandstrength.com/exercises/standing-arnold-press.html
Smith Machine Upright Row Video Exercise Guide,Shoulders,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Shoulders, Traps",Shoulders,https://www.muscleandstrength.com/exercises/smith-machine-upright-row.html
Weight Plate Front Raise Video Exercise Guide,Shoulders,Strength,Other,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/weight-plate-front-raise.html
Cable Front Raise (Bilateral) Video Exercise Guide,Shoulders,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Traps, Upper Back",Shoulders,https://www.muscleandstrength.com/exercises/cable-front-raise.html
Overhead Front Raise (with Weight Plate) Video Exercise Guide,Shoulders,Strength,Other,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/high-weight-plate-front-raise.html
Barbell Clean and Press Video Exercise Guide,Shoulders,Strength,Barbell,Compound,Push,Intermediate,"Glutes, Hamstrings, Lower Back, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/clean-press.html
Alternate Seated Dumbbell Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push (Unilateral),Beginner,"Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/alternate-seated-dumbbell-press.html
Smith Machine Behind the Neck Shoulder Press Video Exercise Guide,Shoulders,Strength,Machine,Compound,Push,Intermediate,Triceps,Shoulders,https://www.muscleandstrength.com/exercises/smith-machine-shoulder-press-behind-neck.html
Seated Dumbbell Front Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/seated-dumbbell-front-raise.html
One-Arm Cable Front Raise Video Exercise Guide,Shoulders,Strength,Cable,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-cable-front-raise.html
Standing Neutral Grip Dumbbell Shoulder Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push,Beginner,Triceps,Shoulders,https://www.muscleandstrength.com/exercises/standing-palms-in-dumbbell-press.html
One-Arm Seated Dumbbell Shoulder Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push,Beginner,Triceps,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-press.html
One-Arm Bent-Over Cable Reverse Fly Video Exercise Guide,Shoulders,Strength,Cable,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-cable-reverse-fly.html
Military Press Behind Neck Video Exercise Guide,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Advanced,"Abs, Traps, Triceps",Shoulders,https://www.muscleandstrength.com/exercises/military-press-behind-neck.html
One-Arm Dumbbell Front Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,Shoulders,https://www.muscleandstrength.com/exercises/one-arm-standing-dumbbell-front-raise.html
Dumbbell Shrug Video Exercise Guide,Traps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",Traps,https://www.muscleandstrength.com/exercises/dumbbell-shrugs.html
Barbell Upright Row Video Exercise Guide,Traps,Strength,Barbell,Compound,Pull,Beginner,"Biceps, Shoulders",Traps,https://www.muscleandstrength.com/exercises/upright-row.html
Barbell Shrug Video Exercise Guide,Traps,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",Traps,https://www.muscleandstrength.com/exercises/barbell-shrug.html
Seated Dumbbell Shrug Video Exercise Guide,Traps,Strength,Dumbbell,Isolation,Pull,Beginner,None,Traps,https://www.muscleandstrength.com/exercises/seated-dumbbell-shrug.html
One-Arm Dumbbell Upright Row Video Exercise Guide,Traps,Strength,Dumbbell,Compound,Pull,Beginner,Biceps,Traps,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-upright-row.html
Wide Grip Upright Row Video Exercise Guide,Traps,Strength,Barbell,Compound,Pull,Intermediate,"Lats, Shoulders",Traps,https://www.muscleandstrength.com/exercises/wide-grip-upright-rows.html
Cable Shrug Video Exercise Guide,Traps,Strength,Cable,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",Traps,https://www.muscleandstrength.com/exercises/cable-shrug.html
Tate Press Video Exercise Guide,Traps,Strength,Dumbbell,Compound,Push,Intermediate,"Chest, Shoulders",Traps,https://www.muscleandstrength.com/exercises/tate-press.html
Cable Row to Neck Video Exercise Guide,Traps,Strength,Cable,Compound,Pull,Beginner,"Lats, Shoulders",Traps,https://www.muscleandstrength.com/exercises/cable-row-to-neck.html
Seated Cable Shrug Video Exercise Guide,Traps,Strength,Cable,Isolation,Pull,Beginner,None,Traps,https://www.muscleandstrength.com/exercises/seated-cable-shrug.html
Behind-The-Back Barbell Shrug Video Exercise Guide,Traps,Strength,Barbell,Isolation,Pull,Beginner,None,Traps,https://www.muscleandstrength.com/exercises/behind-the-back-barbell-shrug.html
Lying Cable Upright Row Video Exercise Guide,Traps,Strength,Cable,Compound,Pull,Intermediate,Biceps,Traps,https://www.muscleandstrength.com/exercises/lying-cable-upright-row.html
Smith Machine Shrug Video Exercise Guide,Traps,Strength,Machine,Isolation,Pull,Beginner,None,Traps,https://www.muscleandstrength.com/exercises/smith-machine-shrug.html
Lying Cable Shrug Video Exercise Guide,Traps,Strength,Cable,Isolation,Pull,Intermediate,None,Traps,https://www.muscleandstrength.com/exercises/lying-cable-shrug.html
EZ Bar Skullcrusher Video Exercise Guide,Triceps,Strength,EZ Bar,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/ez-bar-skullcrusher.html
Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/close-grip-bench-press.html
Weighted Tricep Dips Video Exercise Guide,Triceps,Strength,Other,Compound,Push (Bilateral),Advanced,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/weighted-tricep-dips.html
Straight Bar Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/tricep-extension.html
Seated Dumbbell Tricep Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/two-arm-dumbbell-extension.html
Lying Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/lying-dumbbell-extension.html
Rope Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/rope-tricep-extension.html
Dumbbell Floor Press Video Exercise Guide,Triceps,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/dumbbell-floor-press.html
Tricep Dip Video Exercise Guide,Triceps,Strength,Bodyweight,Compound,Push,Beginner,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/tricep-dip.html
Lying Barbell Tricep Extension (Skull Crusher) Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/lying-tricep-extension.html
Two Arm Standing Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,Abs,Triceps,https://www.muscleandstrength.com/exercises/two-arm-standing-dumbbell-extension.html
Bent Over Dumbbell Tricep Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-kickback.html
French Press Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/french-press.html
Reverse Grip Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-tricep-extension.html
One-Arm Standing Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-extension.html
Standing Low Pulley Overhead Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/standing-low-pulley-overhead-tricep-extension-%28rope-extension%29.html
Standing Low Pulley Overhead Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/standing-low-pulley-overhead-tricep-extension-(rope-extension).html
Dumbbell Tricep Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/tricep-kickback.html
45 Degree Lying Tricep Extension Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/back-of-the-head-lying-tricep-extension.html
One-Arm Seated Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-extension.html
High Pulley Overhead Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,Abs,Triceps,https://www.muscleandstrength.com/exercises/overhead-tricep-extension.html
Bench Dip Video Exercise Guide,Triceps,Strength,Bodyweight,Compound,Push,Beginner,Shoulders,Triceps,https://www.muscleandstrength.com/exercises/tricep-bench-dip.html
Close Grip Push Up Video Exercise Guide,Triceps,Strength,Bodyweight,Compound,Push,Beginner,Shoulders,Triceps,https://www.muscleandstrength.com/exercises/close-grip-push-up.html
Incline Skull Crusher Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/incline-skullcrusher.html
Seated French Press Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/overhead-barbell-extension.html
Reverse One-Arm Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Pull,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-one-arm-tricep-pushdown.html
High Pulley Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/high-pulley-overhead-tricep-extension.html
One-Arm Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-cable-extension.html
Cable Tricep Extension With V-Bar Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/cable-tricep-extension-with-v-bar.html
Incline Dumbbell Tricep Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/incline-two-arm-dumbbell-extension.html
One Arm Bent Over Dumbbell Tricep Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Unilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-bent-over-dumbbell-kickback.html
One-Arm Cable Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-standing-overhead-cable-tricep-extension.html
Seated Bent Over Tricep Dumbbell Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/seated-bent-over-dumbbell-kickback.html
Reverse Grip One-Arm Overhead Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-one-arm-standing-overhead-cable-tricep-extension.html
Standing Low Pulley Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/standing-low-pulley-overhead-tricep-extension.html
Kneeling Overhead Tricep Extension (Over Flat Bench) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/kneeling-overhead-tricep-extension-over-flat-bench.html
Decline Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/decline-close-grip-bench-press.html
Lying Cable Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/lying-on-floor-tricep-extension-%28rope-extension%29.html
Lying Cable Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/lying-on-floor-tricep-extension-(rope-extension).html
Incline Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/incline-close-grip-bench-press.html
Smith Machine Incline Tricep Extension Video Exercise Guide,Triceps,Strength,Machine,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/smith-machine-incline-tricep-extension.html
Lying Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/lying-cable-tricep-extension.html
Seated Low Pulley Overhead Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/seated-low-pulley-overhead-tricep-extension-%28rope-extension%29.html
Seated Low Pulley Overhead Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/seated-low-pulley-overhead-tricep-extension-(rope-extension).html
Single Bench Dip Video Exercise Guide,Triceps,Strength,Bodyweight,Compound,Push,Beginner,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/single-bench-dip.html
Incline Cable Tricep Extension (Rope Extension) Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/incline-bench-rope-extension.html
Alternating Lying Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/alternate-lying-dumbbell-extension.html
Reverse Grip Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Barbell,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-close-grip-bench-press.html
EZ Bar Incline Skullcrusher Video Exercise Guide,Triceps,Strength,EZ Bar,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/ez-bar-incline-skullcrusher.html
One-Arm Seated Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-seated-overhead-tricep-extension.html
Exercise Ball One-Arm Dumbbell Extension Video Exercise Guide,Triceps,Strength,Exercise Ball,Isolation,Push,Intermediate,Abs,Triceps,https://www.muscleandstrength.com/exercises/exercise-ball-one-arm-dumbbell-extension.html
Cable Tricep Kickback Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/cable-tricep-kickback.html
Smith Machine Reverse Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Machine,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/smith-machine-reverse-close-grip-bench-press.html
Close Grip Chest Press Video Exercise Guide,Triceps,Strength,Barbell,Compound,Push,Beginner,Chest,Triceps,https://www.muscleandstrength.com/exercises/close-grip-chest-press.html
Lying Barbell Reverse Extension Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/lying-barbell-reverse-extension.html
Cable Concentration Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/cable-concentration-tricep-extension.html
Close Grip Press Behind-The-Neck Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/close-grip-press-behind-neck.html
Alternating Bent-Over Dumbbell Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/alternate-bent-over-dumbbell-kickback.html
Weighted Bench Dip Video Exercise Guide,Triceps,Strength,Other,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/weighted-bench-dips.html
Reverse Grip French Press Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-french-press.html
Incline Cable Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/incline-cable-tricep-extension.html
Three Bench Dip Video Exercise Guide,Triceps,Strength,Bodyweight,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/three-bench-dip.html
Seated Low Pulley Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/seated-low-pulley-overhead-tricep-extension.html
One-Arm Seated Dumbbell Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-kickback.html
Seated Reverse Grip One-Arm Overhead Tricep Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Pull,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-one-arm-seated-overhead-tricep-extension.html
One-Arm Seated Bent Over Dumbbell Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-seated-bent-over-dumbbell-kickback.html
Weighted Three Bench Dip Video Exercise Guide,Triceps,Strength,Other,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/weighted-three-bench-dips.html
Reverse Grip Skull Crusher Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-skullcrusher.html
Reverse Grip Seated French Press Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-seated-french-press.html
Two-Arm Tricep Cable Extension Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/standing-two-arm-tricep-cable-extension.html
Twisting Dumbbell Bench Press Video Exercise Guide,Triceps,Strength,Dumbbell,Compound,Push,Intermediate,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/twisting-dumbbell-bench-press.html
Seated Alternating Bent Over Dumbbell Kickback Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/alternate-seated-bent-over-dumbbell-kickback.html
